Company,Ticker,GICS Sector,GICS Sub-Industry
MongoDB Inc.,MDB,Information Technology,Systems Software
Monster Beverage,MNST,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
Netflix,NFLX,Communication Services,Movies & Entertainment
Nvidia,NVDA,Information Technology,Semiconductors
NXP,NXPI,Information Technology,Semiconductors
O'Reilly Automotive,ORLY,Consumer Discretionary,Automotive Retail
Old Dominion Freight Line,ODFL,Industrials,Cargo Ground Transportation
Onsemi,ON,Information Technology,Semiconductors
Paccar,PCAR,Industrials,Construction Machinery & Heavy Transportation Equipment
Palo Alto Networks,PANW,Information Technology,Systems Software
Paychex,PAYX,Industrials,Human Resource & Employment Services
PayPal,PYPL,Financials,Transaction & Payment Processing Services
PDD Holdings,PDD,Consumer Discretionary,Broadline Retail
PepsiCo,PEP,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
Qualcomm,QCOM,Information Technology,Semiconductors
Regeneron,REGN,Health Care,Biotechnology
Roper Technologies,ROP,Information Technology,Electronic Equipment & Instruments
Ross Stores,ROST,Consumer Discretionary,Apparel Retail
Sirius XM,SIRI,Communication Services,Broadcasting
Starbucks,SBUX,Consumer Discretionary,Restaurants
Synopsys,SNPS,Information Technology,Application Software
Take-Two Interactive,TTWO,Communication Services,Interactive Home Entertainment
T-Mobile US,TMUS,Communication Services,Wireless Telecommunication Services
"Tesla, Inc.",TSLA,Consumer Discretionary,Automobile Manufacturers
Texas Instruments,TXN,Information Technology,Semiconductors
The Trade Desk,TTD,Communication Services,Advertising
Verisk,VRSK,Industrials,Research & Consulting Services
Vertex Pharmaceuticals,VRTX,Health Care,Biotechnology
Walgreens Boots Alliance,WBA,Consumer Staples,Drug Retail
Warner Bros. Discovery,WBD,Communication Services,Broadcasting
"Workday, Inc.",WDAY,Information Technology,Application Software
Xcel Energy,XEL,Utilities,Multi-Utilities
Zscaler,ZS,Information Technology,Application Software
